#name, mChrA_Absence, mChrA_Presence
NODE_0000094, 0.9996546217891478, 0.0003453782108522037
KE016, 1.0, 0.0
KE021, 1.0, 0.0
NODE_0000095, 0.9870809491415068, 0.012919050858493158
NODE_0000096, 0.9983531368589295, 0.001646863141070544
IN0094, 1.0, 0.0
NODE_0000097, 0.9994396242886385, 0.0005603757113614527
NODE_0000098, 0.9996416436122876, 0.00035835638771242303
BN0123, 1.0, 0.0
W-BKF-15, 1.0, 0.0
NODE_0000099, 0.9995596199221946, 0.0004403800778053743
NODE_0000100, 0.9996182639873591, 0.00038173601264082104
IN0017, 1.0, 0.0
NODE_0000101, 0.9996578456733639, 0.00034215432663617975
MG01, 0.9999999999999999, 0.0
MG02, 0.9999999999999999, 0.0
NODE_0000102, 0.9996148501538696, 0.0003851498461303281
IN0059, 1.0, 0.0
NODE_0000103, 0.9996237232602423, 0.0003762767397576865
IN0082, 0.9999999999999999, 0.0
NODE_0000104, 0.999658340812313, 0.0003416591876871226
CH0701, 0.9999999999999999, 0.0
HB-14, 0.9999999999999999, 0.0
NODE_0000105, 0.8930745968588155, 0.10692540314118448
NODE_0000106, 0.053711021544461474, 0.9462889784555385
VO113, 0.0, 1.0
NODE_0000107, 0.03118661588632633, 0.9688133841136737
US0031, 0.1335665857397492, 0.8664334142602508
VO108, 0.0, 1.0
NODE_0000108, 0.9878934479101371, 0.01210655208986278
NODE_0000109, 0.9985944415837277, 0.0014055584162722175
B157, 0.9999999999999999, 0.0
IN0072, 0.9999999999999999, 0.0
NODE_0000110, 0.9982938301530464, 0.001706169846953481
NODE_0000111, 0.9994882275811556, 0.0005117724188443163
KE443, 0.9999999999999999, 0.0
NODE_0000112, 0.999607389690009, 0.0003926103099910305
KE332, 1.0, 0.0
NODE_0000113, 0.9996196104334041, 0.000380389566595815
E-UGD-36, 1.0, 0.0
NODE_0000114, 0.999624193793575, 0.00037580620642493125
E-KYA-65, 0.9999999999999999, 0.0
NODE_0000115, 0.9996583834882122, 0.0003416165117878107
KE210, 1.0, 0.0
KE255, 1.0, 0.0
NODE_0000116, 0.9994877318834752, 0.0005122681165247734
TZ090, 0.9999999999999999, 0.0
NODE_0000117, 0.9996034471197422, 0.00039655288025778414
TN0050, 1.0, 0.0
NODE_0000118, 0.9995812610306636, 0.0004187389693362757
NODE_0000119, 0.9996544896211051, 0.00034551037889486003
E-TZA-25, 0.9999999999999999, 0.0
E-TZA-69, 0.9999999999999999, 0.0
NODE_0000120, 0.9996166679762354, 0.0003833320237645813
TN0057, 0.9999999999999999, 0.0
NODE_0000121, 0.999620535018933, 0.00037946498106693454
KE473, 1.0, 0.0
NODE_0000122, 0.999624285184912, 0.000375714815088106
E-TZN-24, 0.9999999999999999, 0.0
NODE_0000123, 0.9996583917771202, 0.00034160822287984856
E-TZN-22, 1.0, 0.0
E-TZN-27, 1.0, 0.0
NODE_0000124, 0.9821093725115734, 0.01789062748842672
NODE_0000125, 0.9949485396853933, 0.005051460314606667
NODE_0000126, 0.9992343163073186, 0.0007656836926814556
10100, 1.0, 0.0
A-PH-71, 1.0, 0.0
NODE_0000127, 0.9914577113259904, 0.008542288674009683
PH0118, 0.967446848416408, 0.03255315158359199
NODE_0000128, 0.9931304082346248, 0.006869591765375124
A-PHL-39-, 1.0, 0.0
PH0103, 0.9688993850429655, 0.031100614957034464
NODE_0000129, 0.8700803327690311, 0.1299196672309688
NODE_0000130, 0.205554523702821, 0.794445476297179
NP0041, 0.0, 0.9999999999999999
NODE_0000131, 0.20792399144281035, 0.7920760085571897
NODE_0000132, 0.006266229642609098, 0.9937337703573909
658, 0.0, 1.0
678, 0.0, 1.0
NODE_0000133, 0.9278536551751554, 0.07214634482484453
FJ12JN-084-3, 0.9999999999999999, 0.0
FJ2006-60A3, 0.9999999999999999, 0.0
NODE_0000134, 0.9449884247670148, 0.05501157523298517
NODE_0000135, 0.9808128266417865, 0.019187173358213516
NODE_0000136, 0.9754460556106087, 0.024553944389391267
FJ98099, 1.0, 0.0
NODE_0000137, 0.8801499384789365, 0.11985006152106345
NODE_0000138, 0.026997925947941318, 0.9730020740520587
GY0040, 0.0, 1.0
NODE_0000139, 0.0008956940240513658, 0.9991043059759487
364, 0.0, 1.0
CL0026, 0.0, 1.0
NODE_0000140, 0.9863706714698509, 0.013629328530149074
NODE_0000141, 0.9983005653190877, 0.0016994346809121618
CD0073-1, 0.9999999999999999, 0.0
NODE_0000142, 0.9994938118088211, 0.0005061881911789769
W-BFA-16-, 0.9999999999999999, 0.0
NODE_0000143, 0.9996465582506229, 0.00035344174937696745
E-BRD-52, 1.0, 0.0
E-BRD-55, 1.0, 0.0
NODE_0000144, 0.998145819016055, 0.0018541809839449461
NODE_0000145, 0.9995242995269735, 0.00047570047302654774
CM0028, 1.0, 0.0
ML0060, 1.0, 0.0
NODE_0000146, 0.9994785157966498, 0.0005214842033500407
W-BKF-16, 1.0, 0.0
NODE_0000147, 0.9996451709502345, 0.0003548290497653661
BF17, 1.0, 0.0
BF48, 1.0, 0.0
NODE_0000148, 0.9975107219997643, 0.0024892780002357387
NODE_0000149, 0.9994666982170689, 0.0005333017829312141
MG10, 0.9999999999999999, 0.0
NP0061, 0.9999999999999999, 0.0
NODE_0000150, 0.9993347498040053, 0.0006652501959946902
NODE_0000151, 0.999552119152931, 0.00044788084706905363
NODE_0000152, 0.9996518465440832, 0.0003481534559168454
H08-1a, 1.0, 0.0
H08-1c, 1.0, 0.0
NODE_0000153, 0.9996141026987311, 0.00038589730126885357
FJ2005113B, 1.0, 0.0
NODE_0000154, 0.9996236493774892, 0.0003763506225107614
FJ2001-112B, 1.0, 0.0
NODE_0000155, 0.9996583341113785, 0.000341665888621385
FJ2000-62A, 0.9999999999999999, 0.0
FJ2003-001A1, 0.9999999999999999, 0.0
